FID,OBJECTID,YEAR,MONTH,PIXELS,NDVI,ETRF,ETR_MM,ET_MM,PPT_MM
0,1,2015,1,278,0.573817,0.632653,38.953687,24.644176,83.552574
0,1,2015,2,278,0.573817,0.632653,52.836217,33.427004,58.188444
0,1,2015,3,278,0.573817,0.632653,101.545200,64.242899,50.072329
0,1,2015,4,278,0.600689,0.810546,118.567610,96.104483,29.014223
0,1,2015,5,278,0.646393,0.902156,164.793321,148.669259,54.650639
0,1,2015,6,278,0.758544,0.936551,226.086233,211.741339,20.202513
0,1,2015,7,278,0.751507,0.953917,252.061836,240.446158,44.087517
0,1,2015,8,278,0.701807,0.846582,252.068934,213.397074,14.115493
0,1,2015,9,278,0.706902,0.776191,161.979457,125.726976,35.489956
0,1,2015,10,278,0.662234,0.749394,98.339107,73.694786,70.182999
0,1,2015,11,278,0.658223,0.740053,39.499530,29.231729,71.844674
0,1,2015,12,278,0.658223,0.740053,25.472747,18.851172,106.254782
1,2,2015,1,189,0.467275,0.289718,40.574570,11.755169,67.178761
1,2,2015,2,189,0.467275,0.289718,53.436371,15.481460,48.864438
1,2,2015,3,189,0.467275,0.289718,105.123802,30.456220,43.785689
1,2,2015,4,189,0.533693,0.575074,123.175994,70.835339,25.274630
1,2,2015,5,189,0.527165,0.826177,170.084776,140.520198,47.457086
1,2,2015,6,189,0.529461,1.019183,231.893905,236.342415,18.498772
1,2,2015,7,189,0.751646,0.907100,257.509872,233.587148,41.372287
1,2,2015,8,189,0.748007,0.837247,258.001718,216.011120,13.753680
1,2,2015,9,189,0.747037,0.914414,165.982449,151.776643,32.812046
1,2,2015,10,189,0.682248,0.617046,101.555373,62.664305,57.876271
1,2,2015,11,189,0.680257,0.574089,39.766083,22.829275,59.246020
1,2,2015,12,189,0.680257,0.574089,25.918438,14.879493,88.485655
2,3,2015,1,71,0.479375,0.439708,40.604613,17.854161,67.800089
2,3,2015,2,71,0.479375,0.439708,53.235749,23.408169,49.502003
2,3,2015,3,71,0.479375,0.439708,104.863138,46.109129,44.804827
2,3,2015,4,71,0.524792,0.668128,122.818402,82.058413,25.950064
2,3,2015,5,71,0.628264,0.799402,169.660731,135.627191,47.680284
2,3,2015,6,71,0.712532,0.866742,231.521766,200.669638,18.694967
2,3,2015,7,71,0.641045,0.885991,257.118265,227.804583,41.494321
2,3,2015,8,71,0.600567,0.823265,257.624313,212.093002,13.905721
2,3,2015,9,71,0.521062,1.018558,165.546563,168.618828,33.330335
2,3,2015,10,71,0.512800,0.461959,101.234168,46.766077,59.067511
2,3,2015,11,71,0.505749,0.413054,39.680964,16.390363,60.068401
2,3,2015,12,71,0.505749,0.413054,25.813682,10.662433,89.393392
3,4,2015,1,15,0.499131,0.573917,40.004116,22.959027,73.689310
3,4,2015,2,15,0.499131,0.573917,53.157292,30.507853,52.611159
3,4,2015,3,15,0.499131,0.573917,103.692555,59.510880,46.470311
3,4,2015,4,15,0.524579,0.787384,121.337724,95.539398,26.800310
3,4,2015,5,15,0.584184,0.873936,168.052017,146.866690,50.148821
3,4,2015,6,15,0.646445,0.857233,229.628548,196.845283,19.140326
3,4,2015,7,15,0.656258,0.950559,255.307443,242.684798,42.462881
3,4,2015,8,15,0.593239,0.862004,255.613214,220.339501,13.938516
3,4,2015,9,15,0.646942,1.014821,164.320075,166.755500,33.891611
3,4,2015,10,15,0.630315,0.826845,100.274494,82.911494,62.639879
3,4,2015,11,15,0.628743,0.796750,39.572533,31.529430,64.276161
3,4,2015,12,15,0.628743,0.796750,25.696645,20.473811,95.795285
4,5,2015,1,116,0.557987,0.597376,39.704364,23.718415,76.153984
4,5,2015,2,116,0.557987,0.597376,53.200014,31.780386,53.796339
4,5,2015,3,116,0.557987,0.597376,103.252105,61.680279,46.834384
4,5,2015,4,116,0.603306,0.833952,120.789276,100.732417,26.944306
4,5,2015,5,116,0.660970,0.920235,167.451716,154.094903,51.231284
4,5,2015,6,116,0.709166,0.888081,228.886634,203.269974,19.282632
4,5,2015,7,116,0.722386,0.945541,254.627090,240.760244,42.858968
4,5,2015,8,116,0.695558,0.895088,254.835343,228.100057,13.891772
4,5,2015,9,116,0.685876,0.894767,163.928519,146.677763,33.963850
4,5,2015,10,116,0.678063,0.776440,99.949709,77.604989,63.880102
4,5,2015,11,116,0.679195,0.752446,39.571668,29.775548,65.901203
4,5,2015,12,116,0.679195,0.752446,25.689395,19.329886,98.341028
5,6,2015,1,50,0.489016,0.735123,39.371368,28.942785,79.333457
5,6,2015,2,50,0.489016,0.735123,53.108853,39.041523,55.568839
5,6,2015,3,50,0.489016,0.735123,102.573069,75.403789,47.943004
5,6,2015,4,50,0.548701,0.875736,119.917018,105.015633,27.602365
5,6,2015,5,50,0.653287,0.974326,166.444190,162.170845,52.650554
5,6,2015,6,50,0.751715,1.000353,227.772912,227.853408,19.601102
5,6,2015,7,50,0.733583,0.998894,253.595009,253.314621,43.382851
5,6,2015,8,50,0.697900,0.905948,253.704554,229.843026,13.941366
5,6,2015,9,50,0.731184,0.970503,163.192348,158.378633,34.432174
5,6,2015,10,50,0.712554,0.922233,99.349376,91.623273,66.195169
5,6,2015,11,50,0.711298,0.913851,39.537482,36.131361,68.304090
5,6,2015,12,50,0.711298,0.913851,25.617785,23.410834,101.739511
6,7,2015,1,181,0.387112,0.453878,38.751018,17.588250,86.024932
6,7,2015,2,181,0.387112,0.453878,52.551369,23.851931,59.933672
6,7,2015,3,181,0.387112,0.453878,100.846646,45.772115,51.866026
6,7,2015,4,181,0.416684,0.654277,117.633410,76.964777,30.251413
6,7,2015,5,181,0.456860,0.741580,163.617780,121.335601,55.853551
6,7,2015,6,181,0.514109,0.655388,224.958278,147.434986,20.675025
6,7,2015,7,181,0.523778,0.777944,251.030947,195.288037,44.511021
6,7,2015,8,181,0.459695,0.560133,251.001216,140.594126,14.310825
6,7,2015,9,181,0.456294,0.477101,161.071526,76.847418,36.436389
6,7,2015,10,181,0.382331,0.438686,97.588884,42.810866,73.152598
6,7,2015,11,181,0.376677,0.430629,39.454073,16.990068,74.185744
6,7,2015,12,181,0.376677,0.430629,25.336281,10.910537,108.984846
7,8,2015,1,61,0.415628,0.414236,38.824771,16.082603,86.203654
7,8,2015,2,61,0.415628,0.414236,52.285720,21.658608,60.551737
7,8,2015,3,61,0.415628,0.414236,100.234965,41.520893,52.599672
7,8,2015,4,61,0.442049,0.609391,116.961635,71.275377,31.382556
7,8,2015,5,61,0.463710,0.690935,162.808969,112.490433,57.097201
7,8,2015,6,61,0.510749,0.609256,224.174338,136.579654,21.140422
7,8,2015,7,61,0.538861,0.786434,250.337432,196.873925,45.301509
7,8,2015,8,61,0.556058,0.727152,250.183918,181.921686,14.554863
7,8,2015,9,61,0.474093,0.549983,160.409989,88.222754,37.567751
7,8,2015,10,61,0.388151,0.446666,97.033081,43.341399,75.172256
7,8,2015,11,61,0.384529,0.439502,39.508762,17.364180,74.980521
7,8,2015,12,61,0.384529,0.439502,25.532387,11.221535,109.113211
8,9,2015,1,15,0.425535,0.439749,38.968907,17.136541,85.211623
8,9,2015,2,15,0.425535,0.439749,52.234307,22.969989,60.194135
8,9,2015,3,15,0.425535,0.439749,100.107609,44.022230,52.242481
8,9,2015,4,15,0.455456,0.617257,116.903437,72.159409,31.604879
8,9,2015,5,15,0.480365,0.635136,162.778504,103.386462,57.474589
8,9,2015,6,15,0.502069,0.514760,224.132492,115.374341,21.248563
8,9,2015,7,15,0.429339,0.596609,250.308813,149.336376,45.717452
8,9,2015,8,15,0.504878,0.611761,250.074532,152.985845,14.629956
8,9,2015,9,15,0.540014,0.527091,160.368879,84.529053,37.964886
8,9,2015,10,15,0.450584,0.500297,96.986872,48.522242,75.259226
8,9,2015,11,15,0.444408,0.490782,39.581704,19.425977,74.466431
8,9,2015,12,15,0.444408,0.490782,25.758194,12.641651,107.932111
9,10,2015,1,23,0.382111,0.527374,38.935576,20.533623,87.034155
9,10,2015,2,23,0.382111,0.527374,51.988411,27.417353,61.420087
9,10,2015,3,23,0.382111,0.527374,99.927944,52.699432,54.138595
9,10,2015,4,23,0.427825,0.710338,116.525765,82.772666,32.259125
9,10,2015,5,23,0.487127,0.745560,162.375249,121.060544,57.101275
9,10,2015,6,23,0.563103,0.746244,223.792078,167.003544,21.327217
9,10,2015,7,23,0.521360,0.827263,249.833191,206.677810,45.408191
9,10,2015,8,23,0.530120,0.698526,249.720831,174.436420,14.779491
9,10,2015,9,23,0.642427,0.651518,159.811520,104.120158,38.227209
9,10,2015,10,23,0.552907,0.448275,96.642617,43.322503,76.538387
9,10,2015,11,23,0.545176,0.425420,39.307744,16.722284,76.060856
9,10,2015,12,23,0.545176,0.425420,25.327515,10.774821,110.562296
10,11,2015,1,117,0.407587,0.701956,39.574298,27.779410,80.757202
10,11,2015,2,117,0.407587,0.701956,52.399310,36.782002,57.425855
10,11,2015,3,117,0.407587,0.701956,101.802433,71.460814,51.375687
10,11,2015,4,117,0.467661,0.722551,118.844589,85.871232,29.891104
10,11,2015,5,117,0.556241,0.763121,165.171444,126.045787,53.075884
10,11,2015,6,117,0.654862,0.784510,226.715029,177.860244,20.228710
10,11,2015,7,117,0.658768,0.837071,252.438502,211.308867,43.689863
10,11,2015,8,117,0.638298,0.707018,252.626297,178.611424,14.485045
10,11,2015,9,117,0.639411,0.576718,161.793935,93.309414,36.196912
10,11,2015,10,117,0.666304,0.519581,98.338032,51.094542,69.911937
10,11,2015,11,117,0.667606,0.506482,39.229806,19.869191,70.666334
10,11,2015,12,117,0.667606,0.506482,25.251802,12.789583,104.167257
11,12,2015,1,428,0.509431,0.409390,40.489907,16.576177,71.224830
11,12,2015,2,428,0.509431,0.409390,52.721835,21.583810,52.060359
11,12,2015,3,428,0.509431,0.409390,103.851156,42.515659,47.827860
11,12,2015,4,428,0.548756,0.642021,121.471821,77.987434,27.859548
11,12,2015,5,428,0.645594,0.821356,168.122322,138.088356,49.004133
11,12,2015,6,428,0.743307,0.878488,230.011527,202.062295,19.308455
11,12,2015,7,428,0.730421,0.921042,255.577650,235.397661,42.106772
11,12,2015,8,428,0.714287,0.805917,256.053134,206.357649,14.287813
11,12,2015,9,428,0.718074,0.680856,164.086280,111.719047,34.763747
11,12,2015,10,428,0.668032,0.535796,100.146342,53.657998,63.088282
11,12,2015,11,428,0.665904,0.510533,39.429106,20.129861,63.429079
11,12,2015,12,428,0.665904,0.510533,25.517346,13.027448,93.707464
12,13,2015,1,11,0.609690,0.582443,41.200611,23.996995,63.382895
12,13,2015,2,11,0.609690,0.582443,52.970667,30.852379,47.696873
12,13,2015,3,11,0.609690,0.582443,105.505726,61.451040,44.974498
12,13,2015,4,11,0.621488,0.749504,123.581989,92.625204,26.316955
12,13,2015,5,11,0.608906,0.716056,170.412200,122.024731,45.800603
12,13,2015,6,11,0.676171,0.717633,232.634171,166.945996,18.626690
12,13,2015,7,11,0.672388,0.784980,258.137374,202.632702,40.799823
12,13,2015,8,11,0.690284,0.599086,258.853270,155.075380,14.129268
12,13,2015,9,11,0.707660,0.410286,165.951661,68.087689,33.700075
12,13,2015,10,11,0.703238,0.355730,101.574017,36.132955,57.824275
12,13,2015,11,11,0.708453,0.336150,39.653703,13.329577,57.562444
12,13,2015,12,11,0.708453,0.336150,25.751242,8.656270,84.940935
13,14,2015,1,23,0.478286,0.266190,41.278766,10.987986,61.875729
13,14,2015,2,23,0.478286,0.266190,53.125101,14.141359,46.689818
13,14,2015,3,23,0.478286,0.266190,105.897240,28.188763,43.957671
13,14,2015,4,23,0.543773,0.468777,124.094702,58.172696,25.706164
13,14,2015,5,23,0.640558,0.618479,170.977980,105.746370,45.225250
13,14,2015,6,23,0.687063,0.670985,233.223979,156.489807,18.421199
13,14,2015,7,23,0.615458,0.617565,258.739769,159.788507,40.536800
13,14,2015,8,23,0.682611,0.499302,259.482375,129.559971,14.015248
13,14,2015,9,23,0.760715,0.229857,166.480825,38.266805,33.251210
13,14,2015,10,23,0.748089,0.090821,101.964901,9.260510,56.398085
13,14,2015,11,23,0.748578,0.051458,39.746543,2.045270,56.232367
13,14,2015,12,23,0.748578,0.051458,25.850497,1.330210,83.103332
14,15,2015,1,30,0.636656,0.576086,41.081116,23.666258,63.381546
14,15,2015,2,30,0.636656,0.576086,53.208336,30.652580,47.315686
14,15,2015,3,30,0.636656,0.576086,105.673870,60.877242,43.931388
14,15,2015,4,30,0.645543,0.720581,123.828319,89.228317,25.599608
14,15,2015,5,30,0.673836,0.806662,170.717100,137.711019,45.858559
14,15,2015,6,30,0.713161,0.841507,232.841394,195.937702,18.447460
14,15,2015,7,30,0.692009,0.814688,258.385156,210.503351,40.774548
14,15,2015,8,30,0.730153,0.742350,259.057499,192.311293,13.944917
14,15,2015,9,30,0.727326,0.673424,166.331131,112.011318,33.139089
14,15,2015,10,30,0.686691,0.410259,101.842569,41.781829,56.840694
14,15,2015,11,30,0.687651,0.370364,39.750376,14.722103,57.098441
14,15,2015,12,30,0.687651,0.370364,25.867404,9.580352,84.637182
15,16,2015,1,40,0.426314,0.447080,39.340302,17.588274,78.358219
15,16,2015,2,40,0.426314,0.447080,52.789372,23.601089,56.194775
15,16,2015,3,40,0.426314,0.447080,100.332796,44.856818,46.477853
15,16,2015,4,40,0.473328,0.701563,117.796225,82.641429,30.307050
15,16,2015,5,40,0.592329,0.891180,163.772979,145.951188,59.239742
15,16,2015,6,40,0.650063,0.774515,224.932855,174.213911,21.271609
15,16,2015,7,40,0.540102,0.921923,251.516002,231.878355,47.345571
15,16,2015,8,40,0.598071,0.697009,250.796029,174.807075,14.390573
15,16,2015,9,40,0.425809,0.410993,161.751295,66.478598,38.007400
15,16,2015,10,40,0.365254,0.284313,97.802226,27.806399,71.986175
15,16,2015,11,40,0.362463,0.265390,40.446009,10.733982,69.187976
15,16,2015,12,40,0.362463,0.265390,27.345175,7.257147,98.580379
16,17,2015,1,28,0.360637,0.628239,39.349743,24.721049,69.418787
16,17,2015,2,28,0.360637,0.628239,54.016327,33.935172,49.975424
16,17,2015,3,28,0.360637,0.628239,101.218496,63.589423,37.584283
16,17,2015,4,28,0.412136,0.780481,119.655421,93.388829,27.233784
16,17,2015,5,28,0.596346,0.927229,165.214073,153.191219,61.370989
16,17,2015,6,28,0.673702,0.862458,225.984526,194.902174,21.301742
16,17,2015,7,28,0.613094,0.965178,253.696725,244.862468,48.115967
16,17,2015,8,28,0.707453,0.980667,252.420192,247.540244,13.900687
16,17,2015,9,28,0.634577,0.995795,163.884297,163.195161,35.478059
16,17,2015,10,28,0.596759,0.840996,99.198673,83.425709,64.989709
16,17,2015,11,28,0.591024,0.821932,41.453378,34.071873,61.609920
16,17,2015,12,28,0.591024,0.821932,29.068492,23.892334,86.616406
17,18,2015,1,73,0.479192,0.386425,34.229165,13.227005,44.005624
17,18,2015,2,73,0.479192,0.386425,56.170646,21.705741,34.302303
17,18,2015,3,73,0.479192,0.386425,108.279056,41.841733,21.062273
17,18,2015,4,73,0.512489,0.537562,129.763082,69.755667,15.616197
17,18,2015,5,73,0.571114,0.607513,175.248024,106.465377,50.811213
17,18,2015,6,73,0.661728,0.708457,237.126351,167.993801,18.903600
17,18,2015,7,73,0.486209,0.615682,264.090611,162.595797,43.696323
17,18,2015,8,73,0.509492,0.434752,262.699646,114.209096,10.391661
17,18,2015,9,73,0.480854,0.341148,173.608788,59.226346,32.498743
17,18,2015,10,73,0.417556,0.111530,106.969483,11.930254,42.798919
17,18,2015,11,73,0.414132,0.090980,42.982506,3.910544,42.860855
17,18,2015,12,73,0.414132,0.090980,27.956339,2.543465,54.759782
18,19,2015,1,62,0.384099,0.374478,34.068180,12.757771,42.225533
18,19,2015,2,62,0.384099,0.374478,56.149707,21.026809,33.453881
18,19,2015,3,62,0.384099,0.374478,108.609174,40.671706,19.919761
18,19,2015,4,62,0.445433,0.508545,130.688670,66.461119,14.924100
18,19,2015,5,62,0.624495,0.735925,176.020657,129.538084,50.125404
18,19,2015,6,62,0.645506,0.678008,237.865082,161.274478,18.599573
18,19,2015,7,62,0.586732,0.808038,264.964557,214.101499,43.130519
18,19,2015,8,62,0.662101,0.731672,263.570513,192.847283,10.225771
18,19,2015,9,62,0.576333,0.723672,174.350609,126.172635,31.881324
18,19,2015,10,62,0.600575,0.563632,107.634529,60.666272,41.497317
18,19,2015,11,62,0.598473,0.544744,43.135732,23.497942,42.141188
18,19,2015,12,62,0.598473,0.544744,28.053579,15.282026,52.814464
19,20,2015,1,54,0.488331,0.541720,33.831977,18.327462,37.238634
19,20,2015,2,54,0.488331,0.541720,56.808825,30.774482,31.464702
19,20,2015,3,54,0.488331,0.541720,110.379538,59.794814,16.228939
19,20,2015,4,54,0.511798,0.640488,133.233023,85.334104,12.757349
19,20,2015,5,54,0.514129,0.499787,178.372734,89.148365,48.520790
19,20,2015,6,54,0.449883,0.261085,239.685234,62.578193,17.564906
19,20,2015,7,54,0.295379,0.261268,267.396662,69.862246,41.683558
19,20,2015,8,54,0.284661,0.228036,266.231185,60.710412,9.946760
19,20,2015,9,54,0.293190,0.283007,176.892540,50.061868,29.453978
19,20,2015,10,54,0.286004,0.225363,110.018219,24.794026,37.735570
19,20,2015,11,54,0.285025,0.214310,44.204768,9.473535,40.027292
19,20,2015,12,54,0.285025,0.214310,28.626002,6.134846,47.331256
20,21,2015,1,22,0.399715,0.693067,33.532296,23.240140,36.318868
20,21,2015,2,22,0.399715,0.693067,56.247545,38.983338,30.462893
20,21,2015,3,22,0.399715,0.693067,109.953179,76.204961,16.130371
20,21,2015,4,22,0.462444,0.777758,133.733854,104.012629,12.596679
20,21,2015,5,22,0.611888,0.770384,178.690727,137.660423,47.573472
20,21,2015,6,22,0.695447,0.854139,240.309559,205.257806,17.515323
20,21,2015,7,22,0.586474,0.896839,267.796174,240.170130,41.230590
20,21,2015,8,22,0.639311,0.791507,266.493579,210.931481,9.712511
20,21,2015,9,22,0.698163,0.984564,176.854013,174.124046,29.816519
20,21,2015,10,22,0.652472,0.802971,109.954158,88.289984,37.155549
20,21,2015,11,22,0.647053,0.791474,43.795728,34.663179,39.646632
20,21,2015,12,22,0.647053,0.791474,28.479973,22.541158,46.091036
21,22,2015,1,19,0.353720,0.395518,33.594490,13.287218,36.865887
21,22,2015,2,19,0.353720,0.395518,56.261031,22.252237,30.781975
21,22,2015,3,19,0.353720,0.395518,109.849480,43.447421,16.452889
