FID,OBJECTID,YEAR,MONTH,PIXELS,NDVI,ETRF,ETR_MM,ET_MM,PPT_MM
0,1,2017,1,278,0.794947,0.776961,28.824572,22.395571,60.540809
0,1,2017,2,278,0.794947,0.776961,51.159561,39.748988,133.381414
0,1,2017,3,278,0.794947,0.776961,88.167371,68.502617,134.241071
0,1,2017,4,278,0.794947,0.776961,107.547240,83.560020,66.239735
0,1,2017,5,278,0.812894,0.787037,169.775146,133.619244,56.161021
0,1,2017,6,278,0.822629,0.826926,188.115551,155.557588,77.077889
0,1,2017,7,278,0.713888,0.934796,258.734322,241.863734,4.686238
0,1,2017,8,278,0.524090,0.928353,222.251928,206.328284,6.259575
0,1,2017,9,278,0.613301,0.848084,133.226711,112.987503,44.885143
0,1,2017,10,278,0.559426,0.548001,87.992543,48.219964,65.267164
0,1,2017,11,278,0.537286,0.509186,40.118533,20.427801,113.810848
0,1,2017,12,278,0.537286,0.509186,26.631144,13.560209,121.491115
1,2,2017,1,189,0.711295,0.636285,29.843530,18.988985,49.104288
1,2,2017,2,189,0.711295,0.636285,52.643998,33.496577,111.572137
1,2,2017,3,189,0.711295,0.636285,92.787843,59.039497,114.592291
1,2,2017,4,189,0.711295,0.636285,111.621619,71.023143,56.855683
1,2,2017,5,189,0.729530,0.674049,174.954404,117.927814,49.201432
1,2,2017,6,189,0.786515,0.791040,194.343207,153.733341,69.569102
1,2,2017,7,189,0.733981,0.934145,264.498244,247.079831,4.544162
1,2,2017,8,189,0.560450,0.933310,227.953761,212.751541,5.900159
1,2,2017,9,189,0.647202,0.818651,136.788161,111.981722,40.766562
1,2,2017,10,189,0.514114,0.354737,91.555365,32.478091,55.899202
1,2,2017,11,189,0.480426,0.306969,40.710882,12.496998,94.060121
1,2,2017,12,189,0.480426,0.306969,26.921604,8.264110,98.030977
2,3,2017,1,71,0.703056,0.757948,29.951431,22.701626,49.618352
2,3,2017,2,71,0.703056,0.757948,52.564111,39.840862,113.321923
2,3,2017,3,71,0.703056,0.757948,92.406153,70.039057,116.653394
2,3,2017,4,71,0.703056,0.757948,111.178812,84.267756,58.169767
2,3,2017,5,71,0.706329,0.757955,174.550601,132.301558,49.731118
2,3,2017,6,71,0.716038,0.763922,193.796905,148.045650,69.937673
2,3,2017,7,71,0.648299,0.858546,264.136070,226.772914,4.642461
2,3,2017,8,71,0.450761,0.817256,227.593636,186.002188,5.902022
2,3,2017,9,71,0.470784,0.617297,136.455986,84.233937,41.385585
2,3,2017,10,71,0.484295,0.596582,91.092924,54.344418,57.513840
2,3,2017,11,71,0.476974,0.592891,40.653507,24.103092,95.743861
2,3,2017,12,71,0.476974,0.592891,27.040028,16.031786,99.155288
3,4,2017,1,15,0.664515,0.839147,29.450242,24.713083,53.671276
3,4,2017,2,15,0.664515,0.839147,52.087484,43.709058,120.326110
3,4,2017,3,15,0.664515,0.839147,90.973070,76.339782,122.619866
3,4,2017,4,15,0.664515,0.839147,109.974425,92.284712,60.528151
3,4,2017,5,15,0.667887,0.823069,172.978185,142.372958,51.771349
3,4,2017,6,15,0.676314,0.780146,191.925096,149.729607,72.423983
3,4,2017,7,15,0.611092,0.878595,262.216977,230.382569,4.600771
3,4,2017,8,15,0.459327,0.918622,225.664277,207.300082,6.028563
3,4,2017,9,15,0.578412,0.882431,135.357293,119.443482,42.375253
3,4,2017,10,15,0.603840,0.765890,90.153448,69.047612,59.666288
3,4,2017,11,15,0.592345,0.759176,40.410005,30.678287,101.984567
3,4,2017,12,15,0.592345,0.759176,26.790024,20.338331,107.512990
4,5,2017,1,116,0.712831,0.784867,29.182069,22.904053,55.333185
4,5,2017,2,116,0.712831,0.784867,51.891008,40.727558,122.888504
4,5,2017,3,116,0.712831,0.784867,90.448548,70.990112,124.573133
4,5,2017,4,116,0.712831,0.784867,109.585924,86.010413,61.157804
4,5,2017,5,116,0.711603,0.784156,172.384789,135.176543,52.558610
4,5,2017,6,116,0.726721,0.781176,191.250342,149.400181,73.455851
4,5,2017,7,116,0.681014,0.907850,261.467007,237.372828,4.547623
4,5,2017,8,116,0.520687,0.924700,224.916045,207.979818,6.088647
4,5,2017,9,116,0.618995,0.905130,134.975788,122.170589,42.616919
4,5,2017,10,116,0.625575,0.654056,89.883300,58.788693,60.075973
4,5,2017,11,116,0.609236,0.628364,40.333225,25.343935,104.224788
4,5,2017,12,116,0.609236,0.628364,26.638570,16.738711,110.893258
5,6,2017,1,50,0.770611,0.829143,28.965381,24.016453,57.542366
5,6,2017,2,50,0.770611,0.829143,51.602312,42.785713,127.004256
5,6,2017,3,50,0.770611,0.829143,89.574032,74.269712,128.209033
5,6,2017,4,50,0.770611,0.829143,108.832143,90.237447,62.870242
5,6,2017,5,50,0.759972,0.892843,171.395965,153.029625,53.897234
5,6,2017,6,50,0.764454,0.871728,190.072766,165.691738,74.916580
5,6,2017,7,50,0.720756,0.962274,260.364036,250.541579,4.564000
5,6,2017,8,50,0.532238,1.014636,223.828365,227.104424,6.161271
5,6,2017,9,50,0.623225,0.982575,134.309423,131.969113,43.363701
