FID,OBJECTID,YEAR,MONTH,PIXELS,NDVI,ETRF,ETR_MM,ET_MM,PPT_MM
0,1,2016,1,278,0.575089,0.745428,32.390194,24.144557,60.109946
0,1,2016,2,278,0.575089,0.745428,66.132896,49.297310,72.540281
0,1,2016,3,278,0.575089,0.745428,83.751958,62.431052,75.126122
0,1,2016,4,278,0.659971,0.777792,136.216485,105.948027,46.846846
0,1,2016,5,278,0.735497,0.915485,156.589014,143.354970,66.917302
0,1,2016,6,278,0.758922,0.910091,205.408857,186.940698,24.090259
0,1,2016,7,278,0.782308,0.843798,222.232766,187.519473,59.938038
0,1,2016,8,278,0.721256,0.869452,209.558960,182.201352,13.635608
0,1,2016,9,278,0.759324,0.667840,128.115174,85.560461,55.901720
0,1,2016,10,278,0.722903,0.248787,60.619172,15.081280,155.100375
0,1,2016,11,278,0.719668,0.201586,56.851929,11.460573,38.006280
0,1,2016,12,278,0.719668,0.201586,26.589111,5.360002,104.451409
1,2,2016,1,189,0.501718,0.487284,33.388162,16.269519,49.247184
1,2,2016,2,189,0.501718,0.487284,67.400011,32.842951,61.378554
1,2,2016,3,189,0.501718,0.487284,87.532642,42.653261,64.600317
1,2,2016,4,189,0.587951,0.649431,140.965448,91.547356,39.867989
1,2,2016,5,189,0.760454,0.808028,161.810397,130.747318,58.888961
1,2,2016,6,189,0.796438,0.927593,211.243047,195.947558,22.855204
1,2,2016,7,189,0.738123,0.831075,226.731682,188.430974,56.434555
1,2,2016,8,189,0.748273,0.826369,214.709609,177.429369,13.244639
1,2,2016,9,189,0.755444,0.527306,131.066535,69.112130,50.467046
1,2,2016,10,189,0.679301,-0.079951,62.789438,-5.020108,131.168143
1,2,2016,11,189,0.672448,-0.147290,57.732639,-8.503432,32.800785
1,2,2016,12,189,0.672448,-0.147290,27.111356,-3.993228,86.795781
2,3,2016,1,71,0.439342,0.741564,33.455813,24.809634,50.192958
2,3,2016,2,71,0.439342,0.741564,67.223673,49.850670,63.025707
2,3,2016,3,71,0.439342,0.741564,87.162863,64.636860,66.186415
