FID,OBJECTID,YEAR,MONTH,PIXELS,NDVI,ETRF,ETR_MM,ET_MM,PPT_MM
0,1,2014,1,278,0.527961,0.366898,41.901867,15.373714,85.701765
0,1,2014,2,278,0.527961,0.366898,31.895362,11.702347,147.320833
0,1,2014,3,278,0.527961,0.366898,79.834805,29.291235,113.199123
0,1,2014,4,278,0.529958,0.391791,119.610690,46.862413,52.028762
0,1,2014,5,278,0.542056,0.550808,161.775179,89.107066,35.953416
0,1,2014,6,278,0.568432,0.717152,171.473593,122.972622,60.215086
0,1,2014,7,278,0.728624,0.938334,253.007465,237.405475,14.459268
0,1,2014,8,278,0.763012,0.915438,188.346361,172.419453,52.459139
0,1,2014,9,278,0.753346,0.893873,148.350967,132.606899,18.525331
0,1,2014,10,278,0.739207,0.820744,96.899190,79.529467,65.604989
0,1,2014,11,278,0.740016,0.812416,35.489669,28.832365,145.319341
0,1,2014,12,278,0.740016,0.812416,26.404825,21.451695,94.470719
1,2,2014,1,189,0.472184,0.285242,42.071727,12.000613,68.272421
1,2,2014,2,189,0.472184,0.285242,32.919398,9.389987,121.373799
1,2,2014,3,189,0.472184,0.285242,84.452527,24.089387,96.333811
1,2,2014,4,189,0.484835,0.300192,124.663625,37.422978,44.930346
1,2,2014,5,189,0.561486,0.395455,166.788062,65.957176,31.802156
1,2,2014,6,189,0.649278,0.510044,176.806043,90.178804,55.534608
1,2,2014,7,189,0.703832,0.905906,258.400354,234.086480,13.594214
1,2,2014,8,189,0.763703,0.809342,192.972560,156.180745,51.838546
1,2,2014,9,189,0.733270,0.825542,152.065239,125.536255,16.436083
1,2,2014,10,189,0.669062,0.716668,100.540726,72.054368,54.791431
1,2,2014,11,189,0.665824,0.706175,35.830284,25.302448,117.799146
1,2,2014,12,189,0.665824,0.706175,26.841935,18.955101,76.560458
2,3,2014,1,71,0.509353,0.657466,41.981144,27.601175,68.862162
2,3,2014,2,71,0.509353,0.657466,32.802068,21.566244,122.566633
2,3,2014,3,71,0.509353,0.657466,84.243670,55.387348,97.914744
2,3,2014,4,71,0.515971,0.652891,124.195741,81.086321,46.181065
2,3,2014,5,71,0.556064,0.623737,166.324213,103.742546,32.144642
2,3,2014,6,71,0.604181,0.611911,176.285940,107.871309,55.918042
2,3,2014,7,71,0.647524,0.936665,258.082167,241.736513,13.697938
2,3,2014,8,71,0.726750,0.838192,192.637989,161.467705,52.153939
2,3,2014,9,71,0.698352,0.865553,151.650865,131.261847,16.755363
2,3,2014,10,71,0.654446,0.773519,100.111350,77.437986,55.968608
2,3,2014,11,71,0.651968,0.761386,35.749736,27.219343,119.265142
2,3,2014,12,71,0.651968,0.761386,26.870208,20.458596,77.010277
3,4,2014,1,15,0.483404,0.714140,41.978104,29.978231,75.181882
3,4,2014,2,15,0.483404,0.714140,32.494667,23.205732,131.532315
3,4,2014,3,15,0.483404,0.714140,82.641589,59.017640,103.241214
3,4,2014,4,15,0.486691,0.701869,122.646100,86.081486,47.795786
3,4,2014,5,15,0.506605,0.623628,164.848189,102.804023,33.374336
3,4,2014,6,15,0.535243,0.561626,174.689408,98.110109,57.457019
3,4,2014,7,15,0.599944,0.891678,256.231281,228.475868,13.934703
3,4,2014,8,15,0.693688,0.873424,191.095333,166.907169,52.167344
3,4,2014,9,15,0.669463,0.954304,150.525996,143.647505,17.282801
3,4,2014,10,15,0.654190,0.858386,99.087520,85.055365,58.980728
3,4,2014,11,15,0.653171,0.845541,35.625633,30.122933,128.552673
3,4,2014,12,15,0.653171,0.845541,26.636361,22.522135,83.685124
4,5,2014,1,116,0.463280,0.528139,42.013823,22.189153,77.857969
4,5,2014,2,116,0.463280,0.528139,32.399304,17.111347,135.232997
4,5,2014,3,116,0.463280,0.528139,81.979513,43.296607,105.072887
4,5,2014,4,116,0.474095,0.532856,122.105125,65.064480,48.086979
4,5,2014,5,116,0.539626,0.562940,164.325969,92.505639,33.832017
4,5,2014,6,116,0.620261,0.612129,174.142622,106.597689,58.011047
4,5,2014,7,116,0.718256,0.970264,255.504698,247.906992,14.007188
4,5,2014,8,116,0.766259,0.879870,190.517579,167.630778,52.046158
4,5,2014,9,116,0.704351,0.930481,150.171421,139.731641,17.408500
4,5,2014,10,116,0.697192,0.805342,98.771811,79.545088,59.966636
4,5,2014,11,116,0.695774,0.789972,35.612084,28.132552,132.311536
4,5,2014,12,116,0.695774,0.789972,26.526966,20.955562,86.566274
5,6,2014,1,50,0.453788,0.643470,41.993524,27.021568,81.253067
5,6,2014,2,50,0.453788,0.643470,32.211626,20.727211,140.261754
5,6,2014,3,50,0.453788,0.643470,81.084437,52.175392,108.214736
5,6,2014,4,50,0.460675,0.641739,121.158050,77.751815,49.342863
5,6,2014,5,50,0.502401,0.630692,163.380354,103.042734,34.623455
5,6,2014,6,50,0.557331,0.638999,173.145118,110.639492,58.889115
5,6,2014,7,50,0.661110,0.967106,254.473614,246.102868,14.166956
5,6,2014,8,50,0.744629,0.911314,189.642108,172.823443,52.123486
5,6,2014,9,50,0.761942,1.009158,149.489223,150.858284,17.783703
5,6,2014,10,50,0.704261,0.890630,98.100314,87.371059,61.984720
5,6,2014,11,50,0.701742,0.875204,35.560839,31.123000,137.623009
5,6,2014,12,50,0.701742,0.875204,26.439774,23.140204,90.071482
6,7,2014,1,181,0.382414,0.497460,41.791888,20.789810,88.260171
6,7,2014,2,181,0.382414,0.497460,31.654721,15.746971,151.690158
6,7,2014,3,181,0.382414,0.497460,79.065132,39.331774,116.786998
6,7,2014,4,181,0.384449,0.514730,118.486923,60.988787,54.368424
6,7,2014,5,181,0.396778,0.625140,160.593718,100.393556,36.913353
6,7,2014,6,181,0.419041,0.733060,170.238786,124.795233,61.130768
6,7,2014,7,181,0.531935,0.801265,252.068011,201.973251,14.688631
6,7,2014,8,181,0.570156,0.739186,187.475881,138.579558,52.854537
